Sample_ID,Country,Longitude,Latitude,Depth_m,d18O,d2H
Sample562,India,88.490775,22.74055667,40,-3.61,-25.8
Sample563,India,88.49085833,22.7409,40,-3.56,-28.4
Sample564,India,88.48849167,22.74244833,40,-3.47,-23.1
Sample565,India,88.488275,22.741735,40,-3.07,-22.1
Sample566,India,88.48992167,22.74041333,40,-3.06,-23.6
Sample567,India,88.548,22.972,40,-3.4,-25.1
Sample568,India,88.581,22.925,40,-4.4,-27.9
Sample569,Bangladesh,89.851,23.569,40,-4.9,-37
Sample570,Bangladesh,90.831,22.931,40,-6.9,-46
Sample571,Bangladesh,90.363,23.743,40,-5.23,-35.8
Sample572,Bangladesh,89.7861,23.4958,40.5,-5.2,-33
Sample573,Bangladesh,89.8825,23.5747,40.5,-2.7,-14
Sample574,India,88.571,22.788,40.7,-3.86,-26.46
Sample575,India,88.49328,22.74666,41,-4.16,-27
Sample576,India,88.49136,22.74312,41,-3.53,-26.7
Sample577,India,88.48900833,22.74100667,41,-4.06,-29.7
Sample578,India,88.49057833,22.74041,41,-3.5,-25.9
Sample579,Bangladesh,88.2739,24.5958,41.1,-5.5,-42
Sample580,Bangladesh,88.2806,24.5997,41.1,-4.4,-33
Sample581,India,88.583056,23.020389,41.148,-3.24274408,-25.11243616
Sample582,Bangladesh,88.21,24.68,41.6,-4.7,-34.1
Sample583,India,88.2186,24.2002,42.1,-3.41,-24.4
Sample584,India,88.1994,24.1849,42.7,-3.54,-23.9
Sample585,Bangladesh,88.3783,24.6403,42.7,-3.4,-21
Sample586,Bangladesh,88.4044,24.6414,42.7,-3.5,-24
Sample587,Bangladesh,88.3897,24.6285,42.7,-3.8,-30
Sample588,India,88.48954167,22.740275,43,-4.42,-28.6
Sample589,India,88.492795,22.74175167,43,-3.43,-25.6
Sample590,India,88.49163167,22.74136333,43,-3.4,-26.5
Sample591,India,88.549,22.945,43,-4,-27.7
Sample592,India,88.55,22.944,43,-2.1,-16.6
Sample593,India,88.566,22.933,43,-3.2,-21.9
Sample594,Bangladesh,89.373,24.426,43,-2.6,-14
Sample595,India,88.563,22.744,43.7,-4.74,-31.49
Sample596,Bangladesh,89.392,23.785,44,-4.6,-28
Sample597,Bangladesh,89.884,23.479,44.5,-5.1,-35
Sample598,Bangladesh,90.001,23.865,45,-4.55,-31
Sample599,Bangladesh,89.14,23.23,45,-2.7,-20
Sample600,Bangladesh,89.139,23.23,45,-2.9,-23
Sample601,Bangladesh,88.2819,24.5942,45,-5,-38
Sample602,India,88.1813,24.1806,45.7,-3.9,-26.6
Sample603,India,88.1962,24.1831,45.7,-3.61,-25
Sample604,Bangladesh,89.8536,23.5689,45.7,-4.2,-27
Sample605,Bangladesh,89.8686,23.5567,45.7,-4.1,-28
Sample606,India,88.58728333,23.02011667,45.72,-2.38881945,-14.6274539
Sample607,India,88.22148333,88.22148333,45.72,-3.3,-25
Sample608,India,88.49163,22.74073,46,-3.95,-28.2
Sample609,India,88.49250833,22.74116167,46,-4.24,-29.3
Sample610,India,88.49296,22.74167167,46,-3.22,-25.2
Sample611,India,88.49085833,22.74124667,46,-3.14,-25.1
Sample612,India,88.48794167,22.74138333,46,-2.81,-21.1
Sample613,India,88.605,22.959,46,-5,-31.4
